transaction_date,posting_date,reference,description,debit,credit,account_code,account_name
2025-06-04,2025-06-04,REF-376929,Company fire goal far environment.,0.0,9112.66,1000,Cash
2025-06-01,2025-06-01,REF-278705,When everything worry there identify.,1628.58,0.0,1010,Accounts Receivable
2025-06-04,2025-06-04,REF-892113,Audience newspaper great population.,1763.65,0.0,1000,Cash
2025-05-27,2025-05-28,REF-288532,Three respond pay source environmental concern.,9681.68,0.0,4030,Salaries Expense
2025-06-06,2025-06-11,REF-228120,Station miss pull total worker already personal purpose.,5667.6,0.0,5000,Purchases
2025-06-09,2025-06-11,REF-336041,President resource prevent apply.,6486.21,0.0,4010,Rent Expense
2025-06-02,2025-06-04,REF-47281,Movie more management trouble guy.,3547.3,0.0,4000,Expenses
2025-06-03,2025-06-08,REF-986682,Leave out little.,0.0,8238.08,5000,Purchases
2025-06-09,2025-06-14,REF-537965,Pick single after draw.,9825.53,0.0,1020,Inventory
2025-05-20,2025-05-23,REF-379801,Away think maybe do.,4449.26,0.0,1010,Accounts Receivable
2025-06-04,2025-06-05,REF-337412,Media certain western do produce cultural hair must.,472.68,0.0,4010,Rent Expense
2025-05-30,2025-05-30,REF-243416,Especially use indicate news staff happen cup.,3699.26,0.0,3000,Revenue
2025-05-16,2025-05-21,REF-415303,Individual movement foreign exist painting.,0.0,6243.03,4020,Utilities Expense
2025-05-21,2025-05-25,REF-816404,Drop nation one company receive machine manage.,1561.47,0.0,5000,Purchases
2025-06-08,2025-06-12,REF-42504,Know glass break it unit candidate represent.,0.0,9881.79,4000,Expenses
2025-05-28,2025-05-28,REF-571938,Pattern realize hospital should quickly find girl.,0.0,4872.77,2000,Accounts Payable
2025-06-08,2025-06-12,REF-126374,Drug network section front above word.,9298.24,0.0,1010,Accounts Receivable
2025-06-04,2025-06-04,REF-514732,Lead job red study blood easy exist.,7394.01,0.0,4010,Rent Expense
2025-06-08,2025-06-12,REF-860756,Middle city prove among decision offer somebody voice.,0.0,1722.99,1000,Cash
2025-06-01,2025-06-03,REF-895376,Field maybe far wide nice.,8352.12,0.0,4000,Expenses
2025-05-31,2025-06-03,REF-617341,Low prove answer over old.,7659.49,0.0,4030,Salaries Expense
2025-06-02,2025-06-07,REF-859159,Explain different run hard Democrat listen.,6530.47,0.0,4010,Rent Expense
2025-06-03,2025-06-05,REF-559094,Article member she build serve.,5895.4,0.0,5000,Purchases
2025-05-24,2025-05-24,REF-633344,Himself food girl suffer exactly so happy human.,0.0,6410.26,1010,Accounts Receivable
2025-06-11,2025-06-16,REF-606038,Perhaps move wear democratic.,0.0,4730.53,4010,Rent Expense
2025-06-01,2025-06-02,REF-950196,Cut weight hope property such involve audience.,0.0,7284.29,4030,Salaries Expense
2025-05-24,2025-05-24,REF-81894,Trial environmental read hair catch guy democratic.,6362.28,0.0,2000,Accounts Payable
2025-05-16,2025-05-17,REF-788071,Forward throw summer fact say write.,8891.63,0.0,4000,Expenses
2025-05-20,2025-05-23,REF-115990,Thousand child fill until.,6167.17,0.0,3000,Revenue
2025-05-28,2025-05-29,REF-267010,Live yourself reveal mouth interesting.,0.0,7019.58,4020,Utilities Expense
2025-05-24,2025-05-26,REF-599310,Rest western discover drop leave remember sure.,8944.14,0.0,1010,Accounts Receivable
2025-05-19,2025-05-21,REF-293853,Sure respond safe particularly program herself research.,0.0,5842.43,4030,Salaries Expense
2025-06-02,2025-06-03,REF-985027,Consumer institution city represent wind.,0.0,2477.1,4010,Rent Expense
2025-06-11,2025-06-13,REF-804485,Leg rate move population imagine college usually budget.,0.0,1288.14,1010,Accounts Receivable
2025-05-18,2025-05-18,REF-890104,Agreement attorney conference parent upon reveal political.,890.29,0.0,1010,Accounts Receivable
2025-06-02,2025-06-05,REF-65908,Black clearly understand improve dog get store thank.,9171.49,0.0,4010,Rent Expense
2025-05-15,2025-05-15,REF-20374,Green chance note.,0.0,3122.52,4010,Rent Expense
2025-06-03,2025-06-07,REF-973179,Candidate late ball husband forward on leg.,1662.12,0.0,4010,Rent Expense
2025-05-14,2025-05-18,REF-957580,Answer top soon business he instead start.,0.0,794.87,4010,Rent Expense
2025-06-07,2025-06-10,REF-755275,Live brother will model.,3449.97,0.0,4010,Rent Expense
2025-05-31,2025-06-04,REF-2704,Available organization clearly live.,4665.94,0.0,1020,Inventory
2025-05-23,2025-05-25,REF-968656,Situation travel charge.,0.0,4336.39,4020,Utilities Expense
2025-06-05,2025-06-07,REF-986436,Rather range ability shoulder.,0.0,9489.67,1000,Cash
2025-05-28,2025-05-29,REF-178784,Ago else high way learn stage.,500.21,0.0,5000,Purchases
2025-05-14,2025-05-16,REF-219751,Today full necessary heart family professor front must.,2280.96,0.0,3000,Revenue
2025-06-04,2025-06-04,REF-813642,Firm brother administration item phone ball.,0.0,8856.22,3000,Revenue
2025-05-25,2025-05-25,REF-283561,Hotel before contain top amount.,0.0,8741.78,1010,Accounts Receivable
2025-05-21,2025-05-21,REF-690244,Congress respond fight upon consider young structure.,0.0,6089.78,4000,Expenses
2025-05-22,2025-05-27,REF-13381,Soon beyond whom Democrat believe job free.,0.0,8899.76,4010,Rent Expense
2025-05-13,2025-05-13,REF-488097,True finally most six term.,0.0,5287.88,2000,Accounts Payable
2025-05-29,2025-05-31,REF-607847,Speak sit prepare society prove practice probably.,0.0,1728.47,1010,Accounts Receivable
2025-05-14,2025-05-14,REF-633221,Mention amount such certainly.,4794.84,0.0,1010,Accounts Receivable
2025-05-19,2025-05-21,REF-432651,See wear big relationship.,0.0,7684.33,1020,Inventory
2025-05-21,2025-05-21,REF-624215,Not education wrong health.,8199.32,0.0,1010,Accounts Receivable
2025-06-05,2025-06-07,REF-405643,Budget bank clearly remain week anything.,7332.69,0.0,4000,Expenses
2025-05-15,2025-05-18,REF-520135,Teach language woman stage.,0.0,5814.18,4020,Utilities Expense
2025-05-16,2025-05-16,REF-565180,Those center growth hold or contain she.,0.0,6851.58,1000,Cash
2025-05-16,2025-05-21,REF-792881,Company Republican approach exist despite especially ball.,0.0,887.24,4010,Rent Expense
2025-05-31,2025-05-31,REF-770985,Win star left green good student.,0.0,4568.54,4020,Utilities Expense
2025-05-31,2025-06-03,REF-641586,Visit hot image avoid response.,0.0,2222.94,4000,Expenses
2025-06-07,2025-06-12,REF-245200,Simply part fund federal least soldier like.,0.0,8370.7,4000,Expenses
2025-05-21,2025-05-22,REF-534644,Find performance too north really.,6570.37,0.0,4000,Expenses
2025-06-04,2025-06-05,REF-403487,Full time rule.,0.0,3266.99,4000,Expenses
2025-06-11,2025-06-11,REF-883033,Allow rock collection grow artist.,5193.46,0.0,1000,Cash
2025-05-23,2025-05-28,REF-780370,Artist late move morning boy third president culture.,0.0,278.04,1010,Accounts Receivable
2025-06-08,2025-06-12,REF-911841,Decade life effort allow space smile natural.,0.0,2621.0,4030,Salaries Expense
2025-06-07,2025-06-07,REF-148606,Face week enjoy worry.,0.0,266.16,4000,Expenses
